Ano Término Fiscalização;Mês Término Fiscalização;CNPJ Estabelecimento;Nome Empregador;Logradouro Local Fiscalizado;;;Município Local Fiscalizado;UF Local Fiscalizado
2008;2008/06;04.716.620/0001-82;EMPORIO DO SUCO LANCHES LTDA ME;RUA TENENTE SILVEIRA,406;88010-301;CENTRO;Florianópolis;Santa Catarina
2012;2012/02;04.716.620/0001-82;EMPORIO DO SUCO LANCHES LTDA ME;RUA TENENTE SILVEIRA,406;88010-301;CENTRO;Florianópolis;Santa Catarina
2011;2011/03;05.792.376/0002-80;EMPORIO DOS PUXADORES LTDA ME;AV MADRE BENVENUTA, 1129, LOJA 7/8;88035-000;SANTA MONICA;Florianópolis;Santa Catarina
2011;2011/04;07.648.246/0001-13;EMPORIO DUHOMEM IND COM E SERVICOS LTDA;AV MARCOLINO M CABRAL, 951;88700-000;CENTRO;Tubarão;Santa Catarina
2008;2008/08;07.648.246/0001-13;EMPORIO DUHOMEN IND COM SERV. LTDA;AV MARCOLINO M CABRAL, 951;88700-000;CENTRO;Tubarão;Santa Catarina
2009;2009/10;04.818.174/0001-17;EMPORIO GAUCHO LTDA ME;RUA ARTUR MARIANO, 111;88100-000;FORQUILHINHAS;São José;Santa Catarina
2011;2011/05;04.937.178/0001-14;EMPORIO GRANOLLE LTDA EPP;RUA SALDANHA MARINHO,391;88010-450;CENTRO;Florianópolis;Santa Catarina
2008;2008/11;04.208.142/0001-08;EMPORIO NA LAGOA COMERCIO E RESTAURANTE LTDA;RUA MANOEL SEVERINO DE OLIVEIRA,371;88062-050;LAGOA DA CONCEICAO;Florianópolis;Santa Catarina
2010;2010/03;04.208.142/0001-08;EMPORIO NA LAGOA COMERCIO E RESTAURANTE LTDA;RUA MANOEL SEVERINO DE OLIVEIRA,371;88062-050;LAGOA DA CONCEICAO;Florianópolis;Santa Catarina
2011;2011/02;10.261.545/0001-05;EMPORIO ORGANICO LTDA ME;AV. AFONSO DELAMBERT NETO 619;88062-000;LAGOA DA CONCEICAO;Florianópolis;Santa Catarina
2009;2009/01;10.261.545/0001-05;EMPORIO ORGANICO LTDA ME;AVENIDA AFONSO DELAMBERT NETO 619;88062-000;LAGOA DA CONCEIçãO;Florianópolis;Santa Catarina
2010;2010/08;00.814.089/0001-20;EMPORIO SANTA CLARA LTDA;RUA DURVAL MELQUIADES DE SOUZA, NO 645;88015-070;CENTRO;Florianópolis;Santa Catarina
2010;2010/12;05.092.345/0003-06;EMPORIO THAPYOKA LTDA ME;ROD ANTONIO HEILI, 635, KM 23, SALA 8;88352-502;Sem Informação;Brusque;Santa Catarina
2010;2010/12;10.743.802/0001-45;EMPORIUM DI VESTA COMERCIAL LTDA;R CEL PEDRO DEMORO 2046;88070-000;ESTREITO;Florianópolis;Santa Catarina
2009;2009/12;02.374.217/0001-97;EMPR DE MAO DE OBRA IRMAOS GONI LTDA;RUA SANTO INACIO, 222, SALA 01;88270-000;CENTRO;Nova Trento;Santa Catarina
2009;2009/02;01.680.957/0001-99;EMPR DE MAO DE OBRA ITALIANA E CHS LTDA;ROD. MAURICIO SIROTSKY SOBRINHO ESQ PIRAUNAS;88000-000;JURERE;Florianópolis;Santa Catarina
2009;2009/01;04.102.192/0001-06;EMPR DE MAO DE OBRA MENEGOI LTDA;RUA MADRE PAULINA;88270-000;VIGOLO;Nova Trento;Santa Catarina
2009;2009/07;08.173.287/0001-63;EMPR DE MAO DE OBRA SAO LUCAS LTDA ME;RUA EVILASIO GEVAERD;88350-000;CENTRO;Brusque;Santa Catarina
2009;2009/03;83.465.385/0001-90;EMPR DE MAO DE OBRA SERMOBRA LTDA;RUA ALMIRANTE BARROSO, 1399;89010-000;VILA NOVA;Blumenau;Santa Catarina
2008;2008/11;09.675.858/0001-20;EMPR MAO OBRA BALDO LTDA;AVDA CASTELO BRANCO, SN;89010-000;CENTRO;Blumenau;Santa Catarina
2010;2010/03;09.675.858/0001-20;EMPR MAO OBRA BALDO LTDA;RUA SAO PAULO;89000-000;Sem Informação;Blumenau;Santa Catarina
2008;2008/11;07.365.300/0001-13;EMPR MAO OBRA EDIRAY LTDA;AVDA CASTELO BRANCO, SN;89010-000;CENTRO;Blumenau;Santa Catarina
2010;2010/09;07.885.495/0001-22;EMPR. DE MAO DE OBRA MARCOLA E VICENTINE LTDA;RUA RUI BARBOSA, 236;88000-000;AGRONOMICA;Florianópolis;Santa Catarina
2011;2011/12;09.047.700/0001-06;EMPR. MãO OBRA LAORATORI LTDA;RIVIERA DEL SOL RES.-AV.B.MAR,2404 ESQ. 153-A;88220-000;CENTRO;Itapema;Santa Catarina
2010;2010/10;10.801.419/0001-04;EMPR. NICEIA DUARTE DA SILVA;R. JOSE MARTINS, 514;88132-282;PASSA VINTE;Palhoça;Santa Catarina
2008;2008/12;05.455.291/0001-26;EMPR. PUBLICA TRANS.TRANSP.DE CRICIUMA;RUA GENERAL OSV.PINTO DA VEIGA,328;88811-700;PROSPERA;Criciúma;Santa Catarina
2011;2011/11;02.966.416/0001-94;EMPRA METAIS ACABAMENTO MECANICO LTDA;RUA DONA FRANCISCA,7964;89239-270;DISTRITO INDUSTRIAL;Joinville;Santa Catarina
2011;2011/10;02.966.416/0001-94;EMPRA METAIS ACABAMENTO MECANICO LTDA;RUA DONA FRANCISCA,7964;89239-270;DISTRITO INDUSTRIAL;Joinville;Santa Catarina
2011;2011/06;02.966.416/0001-94;EMPRA METAIS ACABAMENTO MECANICO LTDA;RUA DONA FRANCISCA,7964;89239-270;DISTRITO INDUSTRIAL;Joinville;Santa Catarina
2008;2008/11;01.372.656/0001-06;EMPRAPLA - EMPRESA BRASILEIRA DE PLASTICOS SA;RODOVIA SC 301 KM 05 NR 7355;89245-000;ITINGA;Araquari;Santa Catarina
2010;2010/03;73.567.547/0001-47;EMPREEND TURIST DAS AMERICAS LTDA;RUA 501,Nº 90;88330-699;CENTRO;Balneário Camboriú;Santa Catarina
2011;2011/02;02.337.741/0001-98;EMPREENDIMENTOS HOTELEIROS MARIA CLARA FLORIANO LTDA;RUA INACIO FRANCISCO DE SOUZA, 416;88385-000;ARMAÇÃO;Penha;Santa Catarina
2011;2011/10;11.649.567/0001-00;EMPREENDIMENTOS IMOB. SOBERANO LTDA;RUA 25 JULHO;89250-000;VILA NOVA;Jaraguá do Sul;Santa Catarina
2009;2009/07;07.384.269/0001-68;EMPREENDIMENTOS IMOBILIARIOS AUGUSTUS LT;ROD SC 433,1;88130-040;ENSEADA DE BRITO;Palhoça;Santa Catarina
2009;2009/03;77.153.435/0003-62;EMPREENDIMENTOS IMOBILIARIOS CISO LTDA;RUA DOM JOAO BECKER,447;88058-600;INGLESES;Florianópolis;Santa Catarina
2008;2008/06;83.041.830/0001-94;EMPREENDIMENTOS IMOBILIARIOS ZITA LTDA;AV PRESIDENTE KENNEDY 703;88101-000;CAMPINAS;São José;Santa Catarina
2008;2008/11;83.041.830/0001-94;EMPREENDIMENTOS IMOBILIARIOS ZITA LTDA;RUA SANTOS SARAIVA, EM FRENTE AO HOTEL CONTINENTE;88070-100;ESTREITO;Florianópolis;Santa Catarina
2009;2009/05;83.041.830/0001-94;EMPREENDIMENTOS IMOBILIáRIOS ZITA LTDA;R. ITAPIRANGA, SN;88000-000;ITACORUBI;Florianópolis;Santa Catarina
2010;2010/12;83.041.830/0001-94;EMPREENDIMENTOS IMOBILIARIOS ZITA S/A;AV PRESIDENTE KENNEDY 703;88101-001;CAMPINAS;São José;Santa Catarina
2011;2011/04;83.041.830/0001-94;EMPREENDIMENTOS IMOBILIARIOS ZITA S/A;AV PRESIDENTE KENNEDY 703;88101-001;CAMPINAS;São José;Santa Catarina
2011;2011/01;83.041.830/0001-94;EMPREENDIMENTOS IMOBILIARIOS ZITA S/A;OBRA: RUA ITAPIRANGA S/N;88034-480;ITACORUBI;Florianópolis;Santa Catarina
2010;2010/10;83.041.830/0001-94;EMPREENDIMENTOS IMOBILIARIOS ZITA S/A;RUA ITAPIRANGA, SN;88000-000;ITACORUBI;Florianópolis;Santa Catarina
2008;2008/06;82.762.865/0001-50;EMPREENDIMENTOS MA LTDA;AV. MANOEL SIMAO 230;89120-000;NACOES;Timbó;Santa Catarina
2011;2011/07;06.626.253/0332-46;EMPREENDIMENTOS PAGUE MENOS S/A;AV. LEOBERTO LEAL,560;88117-000;BARREIROS;São José;Santa Catarina
2011;2011/07;06.626.253/0288-38;EMPREENDIMENTOS PAGUE MENOS S/A;AV.LEDIO JOAO MARTINS,549;88102-000;KOBRASOL;São José;Santa Catarina
2010;2010/09;06.626.253/0281-61;EMPREENDIMENTOS PAGUE MENOS S/A;AV.MAURO RAMOS,1096;88020-303;CENTRO;Florianópolis;Santa Catarina
2012;2012/01;06.626.253/0281-61;EMPREENDIMENTOS PAGUE MENOS S/A;AV.MAURO RAMOS,1096;88020-303;CENTRO;Florianópolis;Santa Catarina
2011;2011/09;06.626.253/0330-84;EMPREENDIMENTOS PAGUE MENOS S/A;AVENIDA BRASIL,1961;88330-050;CENTRO;Balneário Camboriú;Santa Catarina
2010;2010/08;06.626.253/0292-14;EMPREENDIMENTOS PAGUE MENOS S/A;R DOUTOR JOAO COLIN, 642, LOJA 1;89201-300;CENTRO;Joinville;Santa Catarina
2008;2008/10;06.626.253/0310-30;EMPREENDIMENTOS PAGUE MENOS S/A;RUA MAL FLORIANO PEIXOTO, 80 - SL 1 E 2;89251-160;CENTRO;Jaraguá do Sul;Santa Catarina
2011;2011/02;06.626.253/0310-30;EMPREENDIMENTOS PAGUE MENOS_SA;RUA MAL FLORIANO PEIXOTO 80 SALA 1 E 2;89251-160;CENTRO;Jaraguá do Sul;Santa Catarina
2012;2012/03;10.305.145/0001-54;EMPREENDIMENTOS TURISTICOS S E M LTDA ME;RUA SAO LUIZ,500;88210-000;CENTRO;Porto Belo;Santa Catarina
2009;2009/03;06.295.728/0001-74;EMPREI.DE MÃO DE OBRA NA CONSTR.CIVIL_FORTALEZA LTDA;RUA EURICO GASPAR DUTRA/MARQUES DE OLINDA;89803-200;SÃO CRISTOVÃO;Chapecó;Santa Catarina
2009;2009/10;10.378.037/0001-01;EMPREICON EMPREITEIRA DE MÃO DE OBRA LTDA ME;RODOVIA AMARO ANTONIO VIEIRA SN;88034-101;ITACORUBI;Florianópolis;Santa Catarina
2008;2008/08;85.133.320/0001-72;EMPREIT DE MAO DE OBRA JNC LTDA;RUA ALAMEDA RIO BRANCO;89000-000;CENTRO;Blumenau;Santa Catarina
2009;2009/02;85.133.320/0001-72;EMPREIT DE MAO DE OBRA JNC LTDA;RUA PARAGUAY, 177;89050-000;PONTA AGUDA;Blumenau;Santa Catarina
2011;2011/03;02.797.628/0001-95;EMPREIT DE MAO DE OBRA TIEQUIM LTDA ME;LINHA BANHADO GRANDE;89670-000;INTERIOR;Catanduvas;Santa Catarina
2008;2008/08;79.246.526/0001-06;EMPREIT MAO DE OBRA GABRIEL LTDA;EDIFICIO ANA COTTA , CEL FEDDERSEN SN;89190-000;CENTRO;Taió;Santa Catarina
2008;2008/10;01.060.621/0001-23;EMPREIT. DE MAO DE OBRA DOMAZAK LTDA;R. PRES. PRUDENTE DE MORAES, 406;89200-000;SANTO ANTONIO;Joinville;Santa Catarina
2009;2009/06;06.295.728/0001-74;EMPREIT. DE MAO DE OBRA NA CONSTR. CIVIL FORTALEZA LTDA;RUA EURICO GASPAR DUTRA - EDIF. JARDIM TRINDADE;89800-000;SAO CRISTOVAO;Chapecó;Santa Catarina
2009;2009/10;03.392.764/0001-68;EMPREIT. DE MÃO DE OBRA Z & Z LTDA;RUA SãO GERôNIMO, AO LADO DE 218-D;89800-000;SANTA MARIA;Chapecó;Santa Catarina
2011;2011/04;06.295.728/0001-74;EMPREIT.MAO DE OBRA C.CIVIL FORTALEZA LTDA - ME;RUA XV DE NOVEMBRO,699;89885-000;CENTRO;São Carlos;Santa Catarina
2010;2010/10;80.070.915/0001-02;EMPREITEIRA ACRISUL LTDA.;RUA ISIDORA CAETANO, 99;88330-000;PIONEIROS;Balneário Camboriú;Santa Catarina
2009;2009/07;08.959.877/0001-16;EMPREITEIRA ANDERXXAN LTDA.;NASCENTE DO SOL,77;88130-570;PONTE DO IMARUI;Palhoça;Santa Catarina
2008;2008/12;03.390.233/0001-36;EMPREITEIRA ATALIBA LTDA;ROD 438, S/N.;88750-000;CENTRO;Braço do Norte;Santa Catarina
2009;2009/01;03.390.233/0001-36;EMPREITEIRA ATALIBA LTDA;RODOVIA SC 438, S/N;88750-000;TREVO;Braço do Norte;Santa Catarina
2008;2008/10;07.139.901/0001-08;EMPREITEIRA CABELO LTDA;RUA TUIUTI, 2295;89200-000;AVENTUREIRO;Joinville;Santa Catarina
2011;2011/04;10.471.516/0001-78;EMPREITEIRA CERITENSE LTDA ME;RUA MARINO PISANI,492;89618-000;NOVO BAIRRO;Monte Carlo;Santa Catarina
2008;2008/10;04.838.268/0001-58;EMPREITEIRA COELHO E SILVA;RUA CARLOS WILLY BOHEM, 287;89237-710;SANTO ANTONIO;Joinville;Santa Catarina
2010;2010/06;04.838.268/0001-58;EMPREITEIRA COELHO E SILVA;RUA CARLOS WILLY BOHEM, 322;89200-000;SANTO ANTONIO;Joinville;Santa Catarina
2009;2009/05;04.838.268/0001-58;EMPREITEIRA COELHO E SILVA;RUA WALDEMAR CARLOS RICHTER, S/N;89200-000;BOM RETIRO;Joinville;Santa Catarina
2011;2011/05;08.858.370/0001-76;EMPREITEIRA DA MAO DE OBRA ELIANE MAY LTDA ME;RUA JOAO PESSOA, 647_- OBRA;89200-000;AMERICA;Joinville;Santa Catarina
2009;2009/07;00.198.167/0001-09;EMPREITEIRA DE  M O MMW LTDA;R. SANTANA ,57;88300-000;CORDEIRO;Itajaí;Santa Catarina
2011;2011/04;09.393.334/0001-47;EMPREITEIRA DE CORTE E CARREGAMENTO DE MADEIRAS SAO LTD;OTR LEBON REGIS, 619,;89580-000;Sem Informação;Fraiburgo;Santa Catarina
2008;2008/09;80.949.092/0001-90;EMPREITEIRA DE INSTALACOES ELETRICAS E HIDRAULICAS AJB;OBRA: RUA PINTOR EDUARDO DIAS 760;88117-013;BARREIROS;São José;Santa Catarina
2009;2009/12;05.294.529/0001-89;EMPREITEIRA DE M O LORES;R GASPAR DUTRA;89046-560;VILA NOVA;Blumenau;Santa Catarina
2009;2009/02;00.198.167/0001-09;EMPREITEIRA DE M O M.M.W;R AUGUSTO CESAR DALçOQUIO, 4500;88311-550;SALSEIROS;Itajaí;Santa Catarina
2011;2011/01;09.518.321/0001-57;EMPREITEIRA DE M. OBRA BAZZOTTI LTDA;RUA PE AURÉLIO CANZER;89900-000;CENTRO;São Miguel do Oeste;Santa Catarina
2008;2008/12;07.548.363/0001-05;EMPREITEIRA DE M.O. DE PAULA LTDA;RUA SEN. ATÍLIO _FONTANA;89800-000;EFAPI;Chapecó;Santa Catarina
2008;2008/09;07.107.024/0001-93;EMPREITEIRA DE M.OBRA SC LTDA;RSV BR 470 PEDRO ZIMMERMANN;89000-000;ITOUPAVA;Blumenau;Santa Catarina
2009;2009/01;82.892.316/0001-08;EMPREITEIRA DE MAIO DE OBRA;RUA PADRE JOAO BATISTA REUS, SN;88135-000;CAMINHO NOVO;Palhoça;Santa Catarina
2012;2012/03;02.496.257/0001-01;EMPREITEIRA DE MAO DE 0BRA PRIMAVERA LTDA;RUA DELFIM DE PADUA PEIXOTO 350;88300-000;PRAIA BRAVA;Itajaí;Santa Catarina
2012;2012/03;02.496.257/0001-01;EMPREITEIRA DE MãO DE O0BRA PRIMAVERA LTDA.;RUA DELFIM DE PáDUA PEIXOTO, 350;88330-000;PRAIA BRAVA;Balneário Camboriú;Santa Catarina
2011;2011/04;11.461.990/0001-81;EMPREITEIRA DE MãO DE OBRA A & S LTDA;RES.BRISAS JURERE-AV.MAURíCIO S. SOBRINHO, 5610;88053-700;JURERE;Florianópolis;Santa Catarina
2011;2011/04;11.461.990/0001-81;EMPREITEIRA DE MãO DE OBRA A & S LTDA;RES.PORTO JURERE-AV.MAURíCIO S. SOBRINHO,LADO 5610;88053-700;JURERE;Florianópolis;Santa Catarina
2009;2009/10;02.481.367/0001-08;EMPREITEIRA DE MãO DE OBRA A.M.F. LTDA - ME;RES. LUAR BIASA - AV.BRASIL, Nº 4098 E RUA 3900;88330-000;CENTRO;Balneário Camboriú;Santa Catarina
2008;2008/07;08.922.853/0001-92;EMPREITEIRA DE MAO DE OBRA ALEXANDRE;R LEOBERTO LEAL ESQ COM JOAQUIM OLIVEIRA;88820-000;CENTRO;Içara;Santa Catarina
2008;2008/07;08.922.853/0001-92;EMPREITEIRA DE MAO DE OBRA ALEXANDRE;RUA NOEL PIROLA 385  FLORESTA CRICIUMA-SC.(ESCRIT);88820-000;RINCAO;Içara;Santa Catarina
2010;2010/02;08.922.853/0001-92;EMPREITEIRA DE MAO DE OBRA ALEXANDRE LTDA;RUA NOE PIROLA, 385;88820-000;FLORESTA;Içara;Santa Catarina
2009;2009/05;01.588.354/0001-61;EMPREITEIRA DE MAO DE OBRA ALS LTDA;RUA ERNESTO DE MARCO, 279-E;89800-000;PARQUE DAS PALMEIRAS;Chapecó;Santa Catarina
2008;2008/06;05.261.648/0001-35;EMPREITEIRA DE MAO DE OBRA ALVES LTDA;RUA MINAS GERAIS, S/N;89130-000;ESTRADA DAS AREIAS;Joinville;Santa Catarina
2010;2010/03;09.108.041/0001-70;EMPREITEIRA DE MAO DE OBRA AM LTDA ME;TV ROBERTO CAETANO FACHINI,206;88270-000;CENTRO;Nova Trento;Santa Catarina
2009;2009/12;05.013.489/0001-50;EMPREITEIRA DE MAO DE OBRA AMARANTE LTDA ME;AV NEREU RAMOS-OBRA PRONTO SOCORRO MUNICIPIO;89240-000;CENTRO;São Francisco do Sul;Santa Catarina
2009;2009/02;05.013.489/0001-50;EMPREITEIRA DE MAO DE OBRA AMARANTE LTDA.;AV NEREU RAMOS, S/N;89240-970;CENTRO;São Francisco do Sul;Santa Catarina
2009;2009/09;03.853.760/0001-30;EMPREITEIRA DE MAO DE OBRA AMORIM S C LT;RUA DONA FRANCISCA, 12436 - OBRA SEW EURODRIVE;89200-000;DISTRITO INDUSTRIAL;Joinville;Santa Catarina
2009;2009/02;03.833.009/0001-71;EMPREITEIRA DE MAO DE OBRA ASSUNCAO LTDA;AV. DOS DOURADOS ESQ. COM RUA PAULO PREIS, 565;88000-000;JURERE;Florianópolis;Santa Catarina
2009;2009/01;03.833.009/0001-71;EMPREITEIRA DE MAO DE OBRA ASSUNCAO LTDA;AV. DOURADOS, ESQ. COM RUA PAULO PAES, 565;88000-000;JURERE INTERNACIONAL;Florianópolis;Santa Catarina
2011;2011/06;03.833.009/0001-71;EMPREITEIRA DE MAO DE OBRA ASSUNCAO LTDA;OBRA: RUA JOSE B MALBURG ESQ MANUEL VIEIRA GARCAO;88301-425;CENTRO;Itajaí;Santa Catarina
2011;2011/12;03.833.009/0001-71;EMPREITEIRA DE MãO DE OBRA ASSUNçãO LTDA;PHD OFFICE - MANOEL VIEIRA GARçãO ESQ.J.B.MALBURG;88306-000;CENTRO;Itajaí;Santa Catarina
2011;2011/05;12.163.558/0001-77;EMPREITEIRA DE MAO DE OBRA A-VANATT LTDA ME;OBRA: RUA ELIANE MOTA 1787;88110-440;BARREIROS;São José;Santa Catarina
2009;2009/10;07.280.882/0001-35;EMPREITEIRA DE MAO DE OBRA BARBOSA LTDA;R CELESTINA ZILLI ROVARIS, SN;88802-210;CENTRO;Criciúma;Santa Catarina
2011;2011/12;07.280.882/0001-35;EMPREITEIRA DE MAO DE OBRA BARBOSA LTDA;R CELESTINA ZILLI ROVARIS, SN;88802-210;CENTRO;Criciúma;Santa Catarina
2009;2009/11;07.280.882/0001-35;EMPREITEIRA DE MAO DE OBRA BARBOSA LTDA;R CELESTINA ZILLI ROVARIS, SN;88802-210;CENTRO;Criciúma;Santa Catarina
2010;2010/03;07.280.882/0001-35;EMPREITEIRA DE MAO DE OBRA BARBOSA LTDA;R CELESTINA ZILLI ROVARIS, SN;88802-210;CENTRO;Criciúma;Santa Catarina
2011;2011/12;07.280.882/0001-35;EMPREITEIRA DE MAO DE OBRA BARBOSA LTDA;RUA 19 DE DEZEMBRO, SN;88860-000;CENTRO;Siderópolis;Santa Catarina
2012;2012/04;08.628.378/0001-46;EMPREITEIRA DE MAO DE OBRA BATISTELI LTDA - ME;R DOM ARMANDO LOMBARDI,425;89812-220;SEMINARIO;Chapecó;Santa Catarina
2010;2010/05;08.802.606/0001-52;EMPREITEIRA DE MAÕ DE OBRA BERG LTDA.;AV. NORMANDO TEDESCO, 4710;88330-000;BARRA;Balneário Camboriú;Santa Catarina
2010;2010/10;11.664.387/0001-05;EMPREITEIRA DE MãO DE OBRA BERGER E BARTH LTDA;PIETRA RES.-RUA DAS ORQUIDEAS, LOTE 18;88130-000;PEDRA BRANCA;Palhoça;Santa Catarina
2009;2009/04;03.433.708/0001-24;EMPREITEIRA DE MAO DE OBRA CAPRED LTDA;R DA PEDRA,259;88049-326;TAPERA;Florianópolis;Santa Catarina
2009;2009/08;76.825.371/0001-74;EMPREITEIRA DE MAO DE OBRA CARVALHO LTDA;RUA LINDOLFO FRANCISCO DE MELO,112;88104-500;FAZ STO ANTONIO;São José;Santa Catarina
2011;2011/11;08.835.283/0001-01;EMPREITEIRA DE MÃO DE OBRA CASA FELIZ LTDA;RUA JOAO PAUL, 280 - JARDINS HOME CLUB;89200-000;FLORESTA;Joinville;Santa Catarina
2009;2009/09;04.718.068/0001-61;EMPREITEIRA DE MAO DE OBRA CASA NOBRE LTDA;RUA FLORIANóPOLIS, 2703;89200-000;FLORESTA;Joinville;Santa Catarina
2008;2008/11;04.718.068/0001-61;EMPREITEIRA DE MAO DE OBRA CASA NOBRE LTDA;RUA MINISTRO CALóGERAS, 1639;89202-005;ANIOTA GARIBALDI;Joinville;Santa Catarina
2011;2011/09;03.896.729/0001-86;EMPREITEIRA DE MAO DE OBRA CASARA LTDA;BR 153 KM 47;89675-000;VILA CAMPINA ALEGRIA;Vargem Bonita;Santa Catarina
2012;2012/02;03.896.729/0001-86;EMPREITEIRA DE MAO DE OBRA CASARA LTDA;ROD BR 282 KM 421;89675-000;INTERIOR;Vargem Bonita;Santa Catarina
2010;2010/11;01.934.340/0001-52;EMPREITEIRA DE MAO DE OBRA CASAVILLE LTD;RUA GUARATUBA,74;89200-000;SAGUAçú;Joinville;Santa Catarina
2011;2011/06;01.934.340/0001-52;EMPREITEIRA DE MAO DE OBRA CASAVILLE LTDA;RUA GUARATUBA, 74;89200-000;SAGUACU;Joinville;Santa Catarina
2011;2011/07;01.934.340/0001-52;EMPREITEIRA DE MãO DE OBRA CASAVILLE LTDA;RUA COLON, 144;89216-400;GLóRIA;Joinville;Santa Catarina
2008;2008/12;07.960.654/0001-06;EMPREITEIRA DE MAO DE OBRA CG LTDA;RUA HERMANN EHLERT, 320;89107-000;CENTRO;Pomerode;Santa Catarina
2011;2011/04;04.037.811/0001-18;EMPREITEIRA DE MAO DE OBRA CORDOVA LTDA;RUA JOSE DE SOUZA,295;89500-000;JUNG;Caçador;Santa Catarina
2008;2008/11;05.741.289/0001-13;EMPREITEIRA DE MãO DE OBRA CORREIA LTDA;R. RODOLFO HUFENSSLER, 755;89251-670;CENTRO;Jaraguá do Sul;Santa Catarina
2011;2011/04;05.741.289/0001-13;EMPREITEIRA DE MAO DE OBRA CORREIA LTDA.;RUA JOAO COSTA JUNIOR,118;89209-400;JOAO COSTA;Joinville;Santa Catarina
2009;2009/03;07.548.363/0001-05;EMPREITEIRA DE MÃO DE OBRA DE PAULA;R. VITORIO CADORI ESQUINA RUA F;89800-000;EFAPI;Chapecó;Santa Catarina
2009;2009/03;07.548.363/0001-05;EMPREITEIRA DE MAO DE OBRA DE PAULA LTDA;RUA POLONIA AO LADO N 58;89801-000;PRESIDENTE MEDICI;Chapecó;Santa Catarina
2009;2009/11;07.548.363/0001-05;EMPREITEIRA DE MAO DE OBRA DE PAULA LTDA;RUA POLONIA, 58 OBRA;89800-000;PRESIDENTE MÉDICE;Chapecó;Santa Catarina
2009;2009/03;07.548.363/0001-05;EMPREITEIRA DE MÃO DE OBRA DE PAULA LTDA.;OBRA AV. ATILIO FONTANA,5657-SUPERM. MOURA;89802-000;EFAPI;Chapecó;Santa Catarina
2010;2010/03;05.665.130/0001-67;EMPREITEIRA DE MAO DE OBRA DELASIR LTDA;RUA ALBINA KOBUS PIAZERA, 443;89251-970;Sem Informação;Jaraguá do Sul;Santa Catarina
2009;2009/01;81.029.613/0001-53;EMPREITEIRA DE MAO DE OBRA DELFINO LTDA;ROD. BR-280 - KM 11;89240-000;MORRO GRANDE;São Francisco do Sul;Santa Catarina
2008;2008/11;81.029.613/0001-53;EMPREITEIRA DE MAO DE OBRA DELFINO LTDA;RUA RODOLFO HAFENNSSLER, 755;89251-000;VILA LENZI;Jaraguá do Sul;Santa Catarina
2009;2009/12;81.029.613/0001-53;EMPREITEIRA DE MAO DE OBRA DELFINO LTDA;RUA SOLEDADE, 401;89227-600;IRIRIU;Joinville;Santa Catarina
2011;2011/04;81.029.613/0001-53;EMPREITEIRA DE MAO DE OBRA DELFINO LTDA-ME;RUA SOLEDADE,401;89227-260;IRIRIU;Joinville;Santa Catarina
2010;2010/06;11.162.763/0001-55;EMPREITEIRA DE MAO DE OBRA DIMENES LTDA;OBRA GASPAR;89110-000;GASPAR GRANDE;Gaspar;Santa Catarina
2011;2011/05;12.519.870/0001-50;EMPREITEIRA DE MãO DE OBRA DJ LTDA;RES.CEZANNE-R.DEP.PAULO PREISS ESQ.AV.BúZIOS;88053-580;JURERê;Florianópolis;Santa Catarina
2011;2011/01;09.481.107/0001-73;EMPREITEIRA DE MAO DE OBRA DRG LTDA M;OBRA NA LAMEDA;89000-000;BALAMEDA;Blumenau;Santa Catarina
2009;2009/07;09.384.692/0001-93;EMPREITEIRA DE MãO DE OBRA E SERV.ALV.PRIMICIA LTDA;OBRA-RES.VILLA RIO GRANDE-R.ORLANDO DE SOUZA,S/Nº;88130-000;RIO GRANDE;Palhoça;Santa Catarina
2008;2008/11;07.365.300/0001-13;EMPREITEIRA DE MAO DE OBRA EDIRAY LTDA ME;RUA SETE DE SETEMBRO;89000-000;CENTRO;Timbó;Santa Catarina
2009;2009/11;07.365.300/0001-13;EMPREITEIRA DE MãO DE OBRA EDIRAY LTDA ME;RUA  SETE DE SETEMBRO,_2014;89012-401;CENTRO;Blumenau;Santa Catarina
2009;2009/06;08.595.981/0001-79;EMPREITEIRA DE MAO DE OBRA EDUSIL LTDA ME;FELICIANO NUNES PIRES, 155;88000-000;CENTRO;Florianópolis;Santa Catarina
2009;2009/07;06.066.786/0001-26;EMPREITEIRA DE MAO DE OBRA EJE LTDA.;RUA SALVATINA FELICIANO DOS SANTOS, SN;88000-000;ITACORUBI;Florianópolis;Santa Catarina
2011;2011/07;06.066.786/0001-26;EMPREITEIRA DE MãO DE OBRA EJE LTDA-ME;RES.CENTRAL PARK-RUA SALVATINA FELICIANA, S/Nº;88034-600;ITACORUBI;Florianópolis;Santa Catarina
2011;2011/08;06.066.786/0001-26;EMPREITEIRA DE MãO DE OBRA EJE LTDA-ME;RESIDENCIAL CENTRAL PARK-SALVATINA FELICIANA, S/Nº;88034-600;ITACORUBI;Florianópolis;Santa Catarina
2008;2008/10;08.858.370/0001-76;EMPREITEIRA DE MAO DE OBRA ELIANE MAY - ME;OBRA: RUA CONCORDIA 44;89203-560;ANITA GARIBALDI;Joinville;Santa Catarina
2010;2010/02;08.858.370/0001-76;EMPREITEIRA DE MAO DE OBRA ELIANE MAY LTDA;OBRA RUA PRINCESA ISABEL - PRÉDIO MTE;89201-270;CENTRO;Joinville;Santa Catarina
